truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
3.81E-06,0.058496475,3.81E-06,,,0.011375427,0.544986725,0.002397537,0.165086746,6.10E-05,0.161895752,0.000520706,0.00652504,0.023172379,0.000261307,0.001462936,0.024726868,,,113.9347661,22.60245444
0.068738937,0.00270462,5.91E-05,0.000959396,7.63E-06,0.40363121,0.330127716,0.004001617,0.013277054,0.006612778,0.041940689,,0.000843048,0.11450386,0.006071091,0.000770569,0.006685257,4.20E-05,,114.0590723,22.63829919
0.004142761,0.022251129,1.72E-05,,,0.005865097,0.556667328,0.004869461,0.153779984,1.91E-06,0.189624786,0.007978439,0.007699966,0.008375168,0.00012207,0.004962921,0.034332275,0.000286102,,113.8505454,22.62833096
0.000249863,0.007320404,,,,0.037851334,0.068067551,0.060962677,0.660364151,,0.095825195,0.005073547,0.00104332,0.000490189,0.000297546,1.14E-05,0.063419342,,,113.9821636,22.553375
,0.000352859,0.000652313,,,0.191638947,0.001792908,0.000101089,0.551116943,0.00135994,0.117454529,0.022979736,0.002435684,0.025930405,0.001209259,0.000991821,0.082960129,,,113.9591638,22.59457457
2.29E-05,0.000652313,1.72E-05,,,0.003446579,0.396661758,,0.446004868,,0.150268555,0.000108719,5.53E-05,0.00034523,,,0.003393173,,,114.0543838,22.60936384
0.000631332,0.032428741,,,,0.226579666,0.350873947,,0.178686142,,0.163219452,,0.001791,0.042266846,,0.000276566,0.00422287,,,113.9171179,22.48757469
0.000400543,0.001895905,1.91E-05,,,0.16119957,0.369918823,0.000272751,0.236700058,1.91E-06,0.157089233,0.009931564,0.002897263,0.048116684,8.01E-05,0.000768661,0.011627197,5.72E-05,,113.9162708,22.50114955
,0.000362396,,,,0.001670837,0.537553787,,0.27863121,,0.155111313,0.009916306,0.00512886,1.14E-05,0.000137329,,0.012289047,0.000164032,,114.00022,22.533408
0.001213074,0.000299454,,,,0.142856598,0.39714241,,0.195007324,,0.249345779,0.004396439,0.001384735,0.005786896,4.96E-05,0.002731323,0.000762939,,,113.9380429,22.51951223
1.91E-06,0.007867813,,,,0.009788513,0.336927414,0.000844955,0.456289291,,0.117938995,0.043403625,0.001140594,0.019943237,,0.001901627,0.004928589,,,113.9124648,22.57968588
0.000268936,0.009431839,,2.67E-05,,0.000236511,0.355072021,0.000514984,0.376256943,,0.188304901,0.007986069,0.000831604,0.031322479,,0.000143051,0.030578613,1.91E-06,,113.981836,22.55266532
